,,,,,,
Task number,User name,Status,OPENDATE,OPENTIME,CLOSEDATE,CLOSETIME
57657,RISOFIS,CLS,03/07/2025,12:10:00,06/07/2025,10:10:49
57656,RINURIT,CLS,02/07/2025,10:20:09,08/07/2025,8:56:25
57655,RIELAD,CLS,02/07/2025,8:51:50,07/07/2025,17:45:18
57654,RIELAD,CLS,01/07/2025,20:08:02,02/07/2025,8:51:41
57653,RISOFIS,CLS,01/07/2025,13:29:05,03/07/2025,12:08:34
57652,RIJOTHI,CLS,01/07/2025,13:12:25,01/07/2025,14:15:12
57651,RIJOTHI,CLS,30/06/2025,11:41:07,30/06/2025,14:04:18
57650,RISOFIS,CLS,30/06/2025,11:14:44,01/07/2025,13:28:59
57649,RISOFIS,CLS,29/06/2025,11:19:40,30/06/2025,11:09:59
57647,RISOFIS,CLS,29/06/2025,9:49:31,29/06/2025,11:19:31
57648,RINURIT,CLS,29/06/2025,7:12:03,02/07/2025,10:19:56
57644,RISOFIS,CLS,26/06/2025,10:17:34,29/06/2025,9:44:44
57642,RIJOTHI,CLS,26/06/2025,8:01:11,26/06/2025,17:02:18
57645,RINURIT,CLS,26/06/2025,7:38:59,29/06/2025,10:11:26
57641,RISOFIS,CLS,25/06/2025,12:05:21,26/06/2025,10:17:11
57640,RISOFIS,CLS,25/06/2025,10:51:05,25/06/2025,12:05:17
57639,RIJOTHI,CLS,25/06/2025,9:11:26,25/06/2025,13:34:37
57638,RIJOTHI,CLS,24/06/2025,9:46:31,25/06/2025,9:11:04
57637,RINURIT,CLS,24/06/2025,7:44:39,26/06/2025,10:38:13
57636,RISOFIS,CLS,22/06/2025,14:52:35,25/06/2025,10:51:01
57635,RIJOTHI,CLS,19/06/2025,11:56:06,19/06/2025,15:06:30
57634,RISOFIS,CLS,18/06/2025,11:52:11,22/06/2025,14:52:28
57633,RISOFIS,CLS,15/06/2025,11:49:39,18/06/2025,11:51:57
57632,RIJOTHI,CLS,13/06/2025,9:13:08,-,-
57631,RIELAD,CLS,11/06/2025,8:33:37,01/07/2025,20:07:51
57630,RIELAD,CLS,11/06/2025,8:00:46,11/06/2025,8:06:47
57629,RIELAD,CLS,11/06/2025,7:46:17,11/06/2025,7:56:39
57628,RISOFIS,CLS,10/06/2025,12:31:27,15/06/2025,11:49:27
57627,RISOFIS,CLS,09/06/2025,10:23:20,10/06/2025,12:31:14
57626,RIELAD,CLS,09/06/2025,8:03:53,11/06/2025,7:45:55
57625,RIJOTHI,CLS,09/06/2025,7:31:57,10/06/2025,6:39:43
57624,RISOFIS,CLS,09/06/2025,6:48:35,09/06/2025,10:23:08
57623,RISOFIS,CLS,09/06/2025,6:21:57,09/06/2025,6:47:54
57621,RIELAD,CLS,08/06/2025,15:59:17,09/06/2025,8:03:44
57620,RISOFIS,CLS,08/06/2025,15:28:09,08/06/2025,13:24:45
57622,RISOFIS,CLS,08/06/2025,13:25:00,09/06/2025,6:21:42
57619,RIELAD,CLS,08/06/2025,13:16:36,08/06/2025,15:19:02
57618,RISOFIS,CLS,08/06/2025,13:00:16,08/06/2025,15:28:04
57617,RINURIT,CLS,08/06/2025,7:20:11,24/06/2025,10:43:33
57616,RISOFIS,CLS,08/06/2025,6:09:43,08/06/2025,13:00:12
57615,RISOFIS,CLS,05/06/2025,10:27:45,08/06/2025,6:08:58
57614,RISOFIS,CLS,05/06/2025,7:52:15,05/06/2025,10:27:24
57613,RISOFIS,CLS,04/06/2025,11:58:28,05/06/2025,7:51:55
57612,RINURIT,CLS,04/06/2025,8:22:25,08/06/2025,7:19:52
57611,RIJOTHI,CLS,04/06/2025,5:04:39,06/06/2025,12:29:07
57610,RIELAD,CLS,03/06/2025,15:07:50,08/06/2025,13:15:57
57609,RISOFIS,CLS,03/06/2025,10:33:21,04/06/2025,11:58:15
57608,RIELAD,CLS,03/06/2025,10:16:47,03/06/2025,14:55:51
57607,RIJOTHI,CLS,03/06/2025,6:12:58,03/06/2025,9:18:13
57606,RINURIT,CLS,29/05/2025,11:17:02,04/06/2025,8:21:42
57605,RIJOTHI,CLS,29/05/2025,6:24:34,03/06/2025,6:12:23
57604,RIELAD,CLS,28/05/2025,19:54:05,03/06/2025,10:15:23
57603,RISOFIS,CLS,28/05/2025,16:06:33,03/06/2025,10:33:01
57602,RISOFIS,CLS,28/05/2025,12:03:33,28/05/2025,15:03:12
57601,RINURIT,CLS,27/05/2025,11:31:22,29/05/2025,11:16:51
57600,RISOFIS,CLS,27/05/2025,10:08:30,28/05/2025,15:03:12
57599,RISOFIS,CLS,27/05/2025,7:34:29,27/05/2025,10:08:17
57598,RISOFIS,CLS,27/05/2025,6:47:02,27/05/2025,7:34:20
57597,RIJOTHI,CLS,26/05/2025,8:03:22,29/05/2025,6:24:20
57596,RIELAD,CLS,25/05/2025,12:55:53,28/05/2025,19:53:46
57595,RISOFIS,CLS,25/05/2025,8:08:08,27/05/2025,6:46:43
57594,RIELAD,CLS,22/05/2025,16:02:34,25/05/2025,12:55:25
57593,RIJOTHI,CLS,22/05/2025,11:52:52,22/05/2025,11:58:59
57592,RINURIT,CLS,22/05/2025,11:50:42,27/05/2025,11:30:35
57591,RISOFIS,CLS,22/05/2025,7:57:20,25/05/2025,8:07:56
57590,RISOFIS,CLS,22/05/2025,5:13:12,22/05/2025,7:57:13
57589,RIJOTHI,CLS,21/05/2025,11:59:31,21/05/2025,12:04:06
57588,RIJOTHI,CLS,21/05/2025,11:07:15,21/05/2025,11:59:21
57587,RIJOTHI,CLS,21/05/2025,10:44:16,21/05/2025,11:07:02
57586,RIELAD,CLS,21/05/2025,7:36:21,22/05/2025,16:02:18
57585,RIELAD,CLS,20/05/2025,12:12:14,21/05/2025,7:36:04
57584,RINURIT,CLS,20/05/2025,11:40:23,22/05/2025,11:49:25
57583,RINURIT,CLS,20/05/2025,7:31:17,20/05/2025,11:38:59
57582,RIJOTHI,CLS,20/05/2025,6:41:16,21/05/2025,10:44:01
57581,RISOFIS,CLS,20/05/2025,6:19:39,22/05/2025,5:12:55
57580,RINURIT,CLS,19/05/2025,11:53:06,20/05/2025,7:31:01
57579,RIELAD,CLS,19/05/2025,10:05:53,20/05/2025,12:11:52
57578,RISOFIS,CLS,19/05/2025,8:00:24,20/05/2025,6:19:14
57577,RINURIT,CLS,19/05/2025,6:38:27,19/05/2025,11:37:24
57576,RINURIT,CLS,18/05/2025,9:34:45,19/05/2025,6:35:09
57575,RISOFIS,CLS,15/05/2025,12:14:49,19/05/2025,8:00:12
57574,RIELAD,CLS,15/05/2025,11:24:27,19/05/2025,10:05:04
57573,RISOFIS,CLS,15/05/2025,8:58:15,15/05/2025,12:14:38
57572,RINURIT,CLS,14/05/2025,10:08:34,18/05/2025,9:33:46
57571,RINURIT,CLS,14/05/2025,9:11:29,14/05/2025,10:01:29
57570,RIELAD,CLS,14/05/2025,6:03:54,15/05/2025,11:21:54
57569,RIJOTHI,CLS,13/05/2025,12:10:06,14/05/2025,9:18:46
57568,RISOFIS,CLS,13/05/2025,7:39:01,15/05/2025,8:58:01
57567,RINURIT,CLS,12/05/2025,7:55:20,14/05/2025,9:11:08
57566,RIJOTHI,CLS,12/05/2025,7:43:36,12/05/2025,11:50:05
57565,RISOFIS,CLS,12/05/2025,5:41:20,13/05/2025,7:38:35
57564,RIELAD,CLS,11/05/2025,9:35:05,14/05/2025,6:03:42
57563,RIELAD,CLS,11/05/2025,7:37:44,11/05/2025,9:30:15
57562,RINURIT,CLS,11/05/2025,7:09:17,12/05/2025,7:41:19
57561,RINURIT,CLS,11/05/2025,7:01:50,11/05/2025,7:09:09
57560,RINURIT,CLS,11/05/2025,6:49:17,11/05/2025,7:00:52
57559,RINURIT,CLS,08/05/2025,9:41:22,11/05/2025,6:49:09
57558,RIELAD,CLS,08/05/2025,8:30:42,08/05/2025,13:56:49
57557,RINURIT,CLS,08/05/2025,8:30:38,08/05/2025,9:40:05
57556,RIJOTHI,CLS,07/05/2025,10:09:42,09/05/2025,11:13:58
57555,RISOFIS,CLS,07/05/2025,10:05:30,12/05/2025,5:40:48
57554,RINURIT,CLS,07/05/2025,9:35:54,08/05/2025,8:30:20
57552,RIJOTHI,CLS,07/05/2025,8:32:08,07/05/2025,9:06:19
57553,RIJOTHI,CLS,07/05/2025,6:08:35,07/05/2025,9:57:48
57551,RIELAD,CLS,06/05/2025,9:34:17,08/05/2025,8:29:52
57549,RIJOTHI,CLS,06/05/2025,8:36:28,06/05/2025,13:02:49
57550,RISOFIS,CLS,06/05/2025,6:32:46,07/05/2025,9:48:10
57548,RISOFIS,CLS,05/05/2025,9:22:30,06/05/2025,6:31:30
57547,RINURIT,CLS,05/05/2025,7:12:10,07/05/2025,9:31:54
57546,RIELAD,CLS,05/05/2025,7:08:35,06/05/2025,9:34:08
57545,RINURIT,CLS,04/05/2025,9:08:37,05/05/2025,7:11:46
57544,RINURIT,CLS,29/04/2025,10:30:29,04/05/2025,9:08:20
57543,RINURIT,CLS,29/04/2025,5:51:48,29/04/2025,10:28:44
57542,RIELAD,CLS,27/04/2025,23:33:49,04/05/2025,14:26:53
57541,RIELAD,CLS,27/04/2025,14:01:58,27/04/2025,23:33:26
57540,RINURIT,CLS,27/04/2025,8:16:02,29/04/2025,5:51:28
57539,RINURIT,CLS,27/04/2025,7:18:40,27/04/2025,8:09:38
57538,RINURIT,CLS,24/04/2025,11:43:36,27/04/2025,7:18:02
57537,RINURIT,CLS,24/04/2025,9:27:06,24/04/2025,11:34:20
57536,RINURIT,CLS,23/04/2025,9:42:15,24/04/2025,9:26:41
57535,RISOFIS,CLS,23/04/2025,8:29:28,05/05/2025,9:22:16
57534,RINURIT,CLS,23/04/2025,6:48:36,23/04/2025,9:42:00
57533,RINURIT,CLS,22/04/2025,10:10:34,23/04/2025,6:45:29
57532,RINURIT,CLS,22/04/2025,5:58:01,22/04/2025,10:09:36
57531,RISOFIS,CLS,21/04/2025,9:54:13,23/04/2025,8:29:18
57530,RINURIT,CLS,21/04/2025,9:25:10,22/04/2025,5:57:39
57529,RINURIT,CLS,21/04/2025,6:56:52,21/04/2025,9:24:10
57528,RISOFIS,CLS,20/04/2025,8:28:21,21/04/2025,9:53:44
57527,RINURIT,CLS,17/04/2025,11:50:14,21/04/2025,6:56:37
57526,RISOFIS,CLS,16/04/2025,11:59:43,20/04/2025,8:27:10
57525,RINURIT,CLS,16/04/2025,10:48:58,17/04/2025,11:49:38
57524,RINURIT,CLS,16/04/2025,10:02:18,16/04/2025,10:46:54
57523,RINURIT,CLS,16/04/2025,9:34:33,16/04/2025,10:02:09
57522,RINURIT,CLS,16/04/2025,9:11:37,16/04/2025,9:30:18
57521,RISOFIS,CLS,16/04/2025,8:27:11,16/04/2025,11:59:20
57520,RINURIT,CLS,15/04/2025,17:49:29,16/04/2025,9:11:28
57519,RISOFIS,CLS,15/04/2025,12:48:37,16/04/2025,8:26:55
57518,RISOFIS,CLS,15/04/2025,10:06:50,15/04/2025,12:48:18
57517,RINURIT,CLS,15/04/2025,9:58:24,15/04/2025,17:48:27
57516,RISOFIS,CLS,15/04/2025,9:11:18,15/04/2025,10:06:38
57515,RINURIT,CLS,15/04/2025,8:45:21,15/04/2025,9:58:14
57514,RINURIT,CLS,15/04/2025,8:27:27,15/04/2025,8:44:35
57513,RINURIT,CLS,15/04/2025,6:51:20,15/04/2025,8:27:07
57512,RINURIT,CLS,15/04/2025,6:12:10,15/04/2025,6:51:12
57511,RISOFIS,CLS,15/04/2025,6:09:20,15/04/2025,9:10:56
57510,RIELAD,CLS,14/04/2025,22:19:27,27/04/2025,14:01:50
57509,RIJOTHI,CLS,11/04/2025,14:18:47,06/05/2025,8:35:27
57507,RIJOTHI,CLS,11/04/2025,10:06:56,11/04/2025,10:27:17
57508,RIELAD,CLS,11/04/2025,7:07:49,14/04/2025,22:19:21
57506,RIELAD,CLS,11/04/2025,6:32:06,11/04/2025,7:07:27
57505,RINURIT,CLS,10/04/2025,9:58:54,15/04/2025,6:11:37
57504,RISOFIS,CLS,10/04/2025,6:07:07,15/04/2025,6:09:03
57503,RINURIT,CLS,10/04/2025,5:58:09,10/04/2025,9:58:45
57502,RIELAD,CLS,10/04/2025,5:08:23,11/04/2025,6:29:08
57501,RISOFIS,CLS,09/04/2025,13:06:00,10/04/2025,6:04:16
57500,RIJOTHI,CLS,09/04/2025,12:46:56,10/04/2025,12:27:35
57499,RINURIT,CLS,09/04/2025,6:32:05,10/04/2025,5:57:41
57498,RINURIT,CLS,08/04/2025,11:36:19,09/04/2025,6:30:18
57497,RIJOTHI,CLS,07/04/2025,13:01:35,09/04/2025,8:05:05
57496,RINURIT,CLS,06/04/2025,10:26:31,08/04/2025,11:36:10
57495,RINURIT,CLS,06/04/2025,9:24:04,06/04/2025,10:25:26
57494,RISOFIS,CLS,06/04/2025,8:44:55,09/04/2025,13:05:38
57493,RINURIT,CLS,06/04/2025,6:13:40,06/04/2025,9:23:54
57490,RISOFIS,CLS,03/04/2025,12:49:02,03/04/2025,9:54:54
57492,RINURIT,CLS,03/04/2025,12:02:58,06/04/2025,6:13:30
57489,RISOFIS,CLS,03/04/2025,10:18:05,03/04/2025,12:48:50
57491,RISOFIS,CLS,03/04/2025,9:55:09,06/04/2025,8:44:44
57488,RISOFIS,CLS,02/04/2025,14:07:59,03/04/2025,10:18:00
57487,RISOFIS,CLS,02/04/2025,12:12:56,02/04/2025,14:07:55
57486,RINURIT,CLS,02/04/2025,7:47:33,03/04/2025,12:00:26
57485,RIJOTHI,CLS,01/04/2025,13:09:30,02/04/2025,10:34:55
57484,RINURIT,CLS,01/04/2025,12:11:07,02/04/2025,7:46:46
57483,RISOFIS,CLS,31/03/2025,15:19:03,02/04/2025,12:06:37
57482,RISOFIS,CLS,30/03/2025,12:34:06,31/03/2025,15:18:59
57481,RISOFIS,CLS,30/03/2025,9:22:00,30/03/2025,12:34:01
57480,RIJOTHI,CLS,28/03/2025,20:35:31,01/04/2025,9:06:44
57479,RISOFIS,CLS,27/03/2025,11:14:51,30/03/2025,9:21:54
57478,RINURIT,CLS,27/03/2025,8:24:44,01/04/2025,12:10:53
57477,RIJOTHI,CLS,27/03/2025,7:32:42,27/03/2025,9:33:21
57476,RINURIT,CLS,26/03/2025,8:35:04,27/03/2025,8:24:30
57475,RIJOTHI,CLS,25/03/2025,15:26:51,26/03/2025,15:00:27
57474,RISOFIS,CLS,25/03/2025,13:08:07,27/03/2025,11:14:37
57473,RINURIT,CLS,25/03/2025,9:31:29,26/03/2025,8:34:04
57472,RINURIT,CLS,25/03/2025,6:37:01,25/03/2025,11:30:49
57471,RINURIT,CLS,23/03/2025,7:44:04,25/03/2025,6:36:53
57469,RISOFIS,CLS,20/03/2025,10:01:15,25/03/2025,13:08:02
57468,RISOFIS,CLS,20/03/2025,8:54:30,20/03/2025,10:01:11
57467,RIJOTHI,CLS,20/03/2025,8:45:18,25/03/2025,14:51:14
57470,RINURIT,CLS,20/03/2025,8:09:01,23/03/2025,7:43:21
57466,RINURIT,CLS,19/03/2025,10:44:54,20/03/2025,8:08:08
57464,RIJOTHI,CLS,17/03/2025,12:17:09,19/03/2025,14:07:03
57463,RINURIT,CLS,16/03/2025,13:03:50,19/03/2025,10:43:58
57462,RISOFIS,CLS,12/03/2025,13:37:45,20/03/2025,8:54:21
57461,RISOFIS,CLS,12/03/2025,9:35:57,12/03/2025,13:37:39
57460,RISOFIS,CLS,11/03/2025,11:29:02,12/03/2025,9:35:53
57459,RISOFIS,CLS,11/03/2025,11:23:24,11/03/2025,11:28:58
57458,RISOFIS,CLS,11/03/2025,11:15:57,11/03/2025,11:23:21
57457,RIJOTHI,CLS,11/03/2025,11:04:15,15/03/2025,16:38:14
57456,RISOFIS,CLS,10/03/2025,10:49:37,11/03/2025,11:15:51
57455,RISOFIS,CLS,09/03/2025,15:06:30,10/03/2025,10:49:11
57454,RISOFIS,CLS,09/03/2025,11:54:57,09/03/2025,15:06:24
57453,RINURIT,CLS,09/03/2025,9:36:59,16/03/2025,13:03:42
57452,RIJOTHI,CLS,07/03/2025,10:13:40,09/03/2025,6:16:06
57451,RINURIT,CLS,06/03/2025,9:57:07,09/03/2025,9:33:46
57450,RIJOTHI,CLS,06/03/2025,7:54:06,07/03/2025,10:13:15
57449,RINURIT,CLS,05/03/2025,8:42:40,06/03/2025,9:56:15
57448,RIJOTHI,CLS,05/03/2025,7:30:17,05/03/2025,11:35:41
57447,RINURIT,CLS,04/03/2025,13:52:50,05/03/2025,8:41:01
57446,RINURIT,CLS,04/03/2025,11:05:11,04/03/2025,13:51:58
57445,RIJOTHI,CLS,03/03/2025,13:40:25,-,-
57444,RINURIT,CLS,03/03/2025,12:07:35,04/03/2025,11:05:06
57443,RISOFIS,CLS,03/03/2025,10:04:43,09/03/2025,11:54:53
57442,RISOFIS,CLS,02/03/2025,14:48:04,03/03/2025,10:04:38
57441,RISOFIS,CLS,02/03/2025,14:30:44,02/03/2025,14:47:41
57440,RIJOTHI,CLS,28/02/2025,13:51:07,03/03/2025,13:39:40
57439,RISOFIS,CLS,27/02/2025,13:50:36,02/03/2025,14:18:13
57438,RINURIT,CLS,27/02/2025,10:47:04,03/03/2025,12:05:55
57437,RISOFIS,CLS,25/02/2025,13:34:04,27/02/2025,13:50:32
57436,RISOFIS,CLS,23/02/2025,11:32:01,25/02/2025,13:31:19
57435,RIJOTHI,CLS,21/02/2025,9:13:26,28/02/2025,13:50:48
57434,RISOFIS,CLS,20/02/2025,15:12:23,23/02/2025,11:31:16
57433,RIJOTHI,CLS,20/02/2025,11:29:10,21/02/2025,9:11:49
57432,RISOFIS,CLS,19/02/2025,15:56:20,20/02/2025,15:12:05
57431,RISOFIS,CLS,19/02/2025,12:27:16,19/02/2025,15:56:14
57430,RISOFIS,CLS,19/02/2025,11:18:09,19/02/2025,12:27:01
57429,RINURIT,CLS,19/02/2025,9:56:44,27/02/2025,10:46:25
57428,RISOFIS,CLS,19/02/2025,9:19:09,19/02/2025,11:18:04
57427,RINURIT,CLS,18/02/2025,11:00:20,19/02/2025,9:55:48
57426,RISOFIS,CLS,18/02/2025,9:24:08,19/02/2025,9:19:05
57425,RISOFIS,CLS,17/02/2025,13:41:40,18/02/2025,9:23:08
57424,RISOFIS,CLS,12/02/2025,11:11:21,17/02/2025,13:41:36
57423,RINURIT,CLS,12/02/2025,10:51:59,18/02/2025,11:00:08
57422,RISOFIS,CLS,11/02/2025,12:32:58,12/02/2025,11:09:52
57421,RISOFIS,CLS,11/02/2025,11:55:05,11/02/2025,12:32:51
57420,RIJOTHI,CLS,11/02/2025,8:00:56,11/02/2025,14:34:18
57419,RINURIT,CLS,10/02/2025,12:46:19,12/02/2025,10:51:24
57418,RINURIT,CLS,06/02/2025,15:09:46,10/02/2025,12:45:46
57417,RISOFIS,CLS,06/02/2025,9:45:41,11/02/2025,11:55:02
57416,RINURIT,CLS,05/02/2025,13:05:42,06/02/2025,15:09:31
57415,RINURIT,CLS,05/02/2025,11:45:17,05/02/2025,13:03:40
57414,RISOFIS,CLS,04/02/2025,9:38:21,06/02/2025,9:45:40
57413,RISOFIS,CLS,03/02/2025,10:06:07,04/02/2025,9:38:13
57412,RISOFIS,CLS,03/02/2025,9:43:43,03/02/2025,10:06:03
57411,RISOFIS,CLS,03/02/2025,9:24:10,03/02/2025,9:43:39
57410,RISOFIS,CLS,02/02/2025,9:57:58,03/02/2025,9:24:02
57409,RINURIT,CLS,29/01/2025,10:25:30,05/02/2025,11:45:11
57408,RINURIT,CLS,29/01/2025,9:20:09,29/01/2025,10:23:52
57407,RISOFIS,CLS,29/01/2025,9:01:15,02/02/2025,9:52:36
57406,RISOFIS,CLS,28/01/2025,13:50:02,29/01/2025,8:58:08
57405,RINURIT,CLS,28/01/2025,13:00:00,29/01/2025,9:13:42
57404,RINURIT,CLS,27/01/2025,13:30:42,28/01/2025,12:59:55
57403,RIJOTHI,CLS,25/01/2025,16:16:46,25/01/2025,16:19:23
57402,RIJOTHI,CLS,23/01/2025,8:21:05,23/01/2025,8:47:36
57401,RISOFIS,CLS,22/01/2025,13:33:28,28/01/2025,13:49:53
57400,RISOFIS,CLS,22/01/2025,10:45:38,22/01/2025,13:33:24
57399,RINURIT,CLS,22/01/2025,9:35:55,27/01/2025,13:30:36
57398,RISOFIS,CLS,21/01/2025,15:56:37,22/01/2025,10:41:47
57397,RINURIT,CLS,21/01/2025,9:07:01,22/01/2025,9:29:55
57396,RIJOTHI,CLS,17/01/2025,8:52:57,22/01/2025,11:02:25
57395,RINURIT,CLS,16/01/2025,13:00:24,21/01/2025,9:06:57
57394,RIJOTHI,CLS,16/01/2025,12:49:03,17/01/2025,8:43:19
57393,RINURIT,CLS,14/01/2025,12:37:25,16/01/2025,12:59:47
57392,RINURIT,CLS,09/01/2025,13:45:21,14/01/2025,12:34:52
57391,RINURIT,CLS,09/01/2025,9:56:53,09/01/2025,13:45:07
57390,RISOFIS,CLS,09/01/2025,9:54:25,21/01/2025,15:56:33
57389,RIJOTHI,CLS,09/01/2025,9:33:42,15/01/2025,12:58:51
57388,RINURIT,CLS,08/01/2025,12:15:08,09/01/2025,9:56:48
57387,RINURIT,CLS,08/01/2025,11:29:41,08/01/2025,12:14:45
57386,RIJOTHI,CLS,08/01/2025,8:47:39,08/01/2025,8:55:03
57385,RINURIT,CLS,07/01/2025,12:51:32,08/01/2025,11:29:03
57384,RINURIT,CLS,06/01/2025,13:10:05,07/01/2025,12:50:31
57383,RISOFIS,CLS,06/01/2025,10:57:26,09/01/2025,9:53:10
57382,RINURIT,CLS,05/01/2025,11:19:43,06/01/2025,13:09:58
57381,RINURIT,CLS,01/01/2025,13:15:54,05/01/2025,11:19:29
57380,RINURIT,CLS,30/12/2024,14:09:27,01/01/2025,13:13:26
57379,RIJOTHI,CLS,30/12/2024,13:24:28,08/01/2025,8:23:24
57378,RISOFIS,CLS,29/12/2024,11:34:37,06/01/2025,10:52:10
57377,RIJOTHI,CLS,27/12/2024,12:22:11,30/12/2024,8:06:22
57376,RIJOTHI,CLS,26/12/2024,15:41:29,27/12/2024,11:53:17
57375,RISOFIS,CLS,26/12/2024,15:02:12,29/12/2024,11:34:33
57374,RINURIT,CLS,24/12/2024,10:48:29,30/12/2024,14:07:51
57373,RINURIT,CLS,23/12/2024,14:38:17,24/12/2024,10:47:40
57372,RISOFIS,CLS,23/12/2024,11:17:32,26/12/2024,15:02:08
57371,RINURIT,CLS,23/12/2024,11:03:46,23/12/2024,14:36:48
57370,RINURIT,CLS,23/12/2024,10:31:44,23/12/2024,11:03:02
57369,RINURIT,CLS,23/12/2024,10:13:06,23/12/2024,10:31:31
57368,RIJOTHI,CLS,20/12/2024,9:14:53,26/12/2024,15:41:16
57367,RIJOTHI,CLS,20/12/2024,7:54:55,20/12/2024,9:06:42
57366,RIELAD,CLS,19/12/2024,16:26:45,10/04/2025,5:08:07
57365,RIJOTHI,CLS,19/12/2024,11:43:47,19/12/2024,13:05:57
57364,RINURIT,CLS,18/12/2024,9:51:39,23/12/2024,10:12:13
57363,RINURIT,CLS,17/12/2024,11:26:23,18/12/2024,9:49:16
57362,RINURIT,CLS,16/12/2024,12:25:23,17/12/2024,11:24:21
57361,RINURIT,CLS,16/12/2024,12:17:49,16/12/2024,12:25:16
57360,RIJOTHI,CLS,16/12/2024,10:55:33,19/12/2024,11:12:20
57359,RISOFIS,CLS,15/12/2024,16:03:12,23/12/2024,11:17:28
57358,RISOFIS,CLS,15/12/2024,10:33:42,15/12/2024,16:03:06
57357,RIJOTHI,CLS,13/12/2024,8:24:42,16/12/2024,10:14:25
57356,RISOFIS,CLS,12/12/2024,13:47:47,15/12/2024,10:32:10
57355,RISOFIS,CLS,12/12/2024,11:50:56,12/12/2024,13:47:41
